# timestamp [ms], type, package_type, source, dest, package_size
1387,SEND,DATA,AB,AD,100
1468,RECEIVE,ACK,AD,AB,0
2385,SEND,DATA,AB,AD,100
3389,SEND,DATA_RETRY,AB,AD,100
3470,RECEIVE,ACK,AD,AB,0
4381,SEND,DATA,AB,AD,100
4462,RECEIVE,ACK,AD,AB,0
5188,SEND,DATA,AB,AD,78
5269,RECEIVE,ACK,AD,AB,0
6179,SEND,DATA,AB,AD,100
6260,RECEIVE,ACK,AD,AB,0
7020,SEND,DATA,AB,AD,82
7101,RECEIVE,ACK,AD,AB,0
8035,SEND,DATA,AB,AD,100
8116,RECEIVE,ACK,AD,AB,0
8886,SEND,DATA,AB,AD,83
8967,RECEIVE,ACK,AD,AB,0
9875,SEND,DATA,AB,AD,100
9956,RECEIVE,ACK,AD,AB,0
10863,SEND,DATA,AB,AD,100
10944,RECEIVE,ACK,AD,AB,0
11664,SEND,DATA,AB,AD,77
11745,RECEIVE,ACK,AD,AB,0
12500,SEND,DATA,AB,AD,81
12581,RECEIVE,ACK,AD,AB,0
13490,SEND,DATA,AB,AD,100
13571,RECEIVE,ACK,AD,AB,0
14484,SEND,DATA,AB,AD,100
14565,RECEIVE,ACK,AD,AB,0
15349,SEND,DATA,AB,AD,85
16228,SEND,DATA_RETRY,AB,AD,85
17099,SEND,DATA_RETRY,AB,AD,85
17965,SEND,DATA_RETRY,AB,AD,85
18046,RECEIVE,ACK,AD,AB,0
18917,SEND,DATA,AB,AD,95
18998,RECEIVE,ACK,AD,AB,0
19882,SEND,DATA,AB,AD,97
19963,RECEIVE,ACK,AD,AB,0
20822,SEND,DATA,AB,AD,94
20903,RECEIVE,ACK,AD,AB,0
21812,SEND,DATA,AB,AD,100
22811,SEND,DATA_RETRY,AB,AD,100
22892,RECEIVE,ACK,AD,AB,0
23803,SEND,DATA,AB,AD,100
24786,SEND,DATA_RETRY,AB,AD,100
25767,SEND,DATA_RETRY,AB,AD,100
25848,RECEIVE,ACK,AD,AB,0
26760,SEND,DATA,AB,AD,100
26841,RECEIVE,ACK,AD,AB,0
27736,SEND,DATA,AB,AD,97
27817,RECEIVE,ACK,AD,AB,0
28722,SEND,DATA,AB,AD,100
29713,SEND,DATA_RETRY,AB,AD,100
30712,SEND,DATA_RETRY,AB,AD,100
30793,RECEIVE,ACK,AD,AB,0
31679,SEND,DATA,AB,AD,97
31760,RECEIVE,ACK,AD,AB,0
32671,SEND,DATA,AB,AD,100
33664,SEND,DATA_RETRY,AB,AD,100
33745,RECEIVE,ACK,AD,AB,0
34460,SEND,DATA,AB,AD,76
35274,SEND,DATA_RETRY,AB,AD,76
35355,RECEIVE,ACK,AD,AB,0
36202,SEND,DATA,AB,AD,92
37124,SEND,DATA_RETRY,AB,AD,92
37205,RECEIVE,ACK,AD,AB,0
38111,SEND,DATA,AB,AD,100
39101,SEND,DATA_RETRY,AB,AD,100
39182,RECEIVE,ACK,AD,AB,0
40093,SEND,DATA,AB,AD,100
40174,RECEIVE,ACK,AD,AB,0
40974,SEND,DATA,AB,AD,85
41871,SEND,DATA_RETRY,AB,AD,85
41952,RECEIVE,ACK,AD,AB,0
42669,SEND,DATA,AB,AD,76
42750,RECEIVE,ACK,AD,AB,0
43662,SEND,DATA,AB,AD,100
43743,RECEIVE,ACK,AD,AB,0
44649,SEND,DATA,AB,AD,100
45634,SEND,DATA_RETRY,AB,AD,100
45715,RECEIVE,ACK,AD,AB,0
46620,SEND,DATA,AB,AD,100
46701,RECEIVE,ACK,AD,AB,0
47532,SEND,DATA,AB,AD,90
47613,RECEIVE,ACK,AD,AB,0
48297,SEND,DATA,AB,AD,72
49063,SEND,DATA_RETRY,AB,AD,72
49826,SEND,DATA_RETRY,AB,AD,72
49907,RECEIVE,ACK,AD,AB,0
50816,SEND,DATA,AB,AD,100
51814,SEND,DATA_RETRY,AB,AD,100
51895,RECEIVE,ACK,AD,AB,0
52741,SEND,DATA,AB,AD,92
53658,SEND,DATA_RETRY,AB,AD,92
53739,RECEIVE,ACK,AD,AB,0
54532,SEND,DATA,AB,AD,86
54613,RECEIVE,ACK,AD,AB,0
55523,SEND,DATA,AB,AD,100
56530,SEND,DATA_RETRY,AB,AD,100
56611,RECEIVE,ACK,AD,AB,0
57524,SEND,DATA,AB,AD,100
58508,SEND,DATA_RETRY,AB,AD,100
58589,RECEIVE,ACK,AD,AB,0
59452,SEND,DATA,AB,AD,94
59533,RECEIVE,ACK,AD,AB,0
60443,SEND,DATA,AB,AD,100
60524,RECEIVE,ACK,AD,AB,0
61206,SEND,DATA,AB,AD,72
61287,RECEIVE,ACK,AD,AB,0
62131,SEND,DATA,AB,AD,92
62212,RECEIVE,ACK,AD,AB,0
63005,SEND,DATA,AB,AD,86
63086,RECEIVE,ACK,AD,AB,0
