# delay [ms], bytes_sent
81,10
81,0
81,10
81,6
81,10
81,10
81,10
81,10
81,6
81,10
81,2
81,5
81,10
81,10
81,3
81,10
81,10
263,0
81,0
81,10
81,0
81,0
342,10
316,7
352,10
81,0
81,5
81,10
81,10
81,10
81,10
81,0
81,10
81,0
81,10
81,0
81,10
81,9
81,0
81,10
260,0
352,10
81,5
81,0
81,0
81,10
81,10
81,10
81,10
81,0
81,0
81,5
81,3
81,0
81,0
81,0
81,0
288,2
81,0
81,0
81,0
81,1
81,7
81,10
81,10
81,10
309,5
261,0
81,0
81,0
81,0
275,0
81,10
81,10
81,10
81,0
81,10
81,4
81,10
81,0
81,10
81,10
81,5
81,7
81,10
81,10
81,7
349,10
81,0
81,9
81,10
81,0
81,10
81,2
81,10
81,0
81,0
81,0
81,10
81,9
81,0
81,5
353,10
627,10
81,10
81,0
81,0
81,10
81,10
81,10
81,10
81,10
81,3
81,10
81,10
81,10
81,0
81,10
81,0
81,10
81,10
81,7
81,4
81,10
81,0
81,8
81,0
81,0
81,10
81,4
81,10
81,0
81,0
81,10
81,10
81,10
81,10
81,0
81,10
81,10
81,8
81,10
81,10
81,0
81,0
81,10
81,0
81,2
81,0
81,10
81,0
81,0
81,10
81,10
81,0
81,4
81,0
81,10
81,0
81,10
81,0
81,0
81,0
81,10
81,10
81,7
81,10
81,10
81,8
81,10
81,9
81,10
81,10
81,10
81,0
81,0
81,0
81,10
81,10
81,10
81,4
81,10
81,0
81,2
81,7
81,0
81,10
81,10
81,7
81,5
81,0
81,0
81,0
81,10
81,0
81,10
81,10
81,10
81,1
81,10
346,10
274,0
81,10
81,10
81,0
81,10
81,9
81,2
81,0
81,0
81,8
81,0
81,0
81,0
81,10
81,0
81,10
81,10
81,10
81,0
81,10
81,7
349,10
81,0
81,10
358,10
81,0
81,10
81,0
81,0
273,0
81,10
81,5
81,0
81,10
81,10
81,0
81,0
81,0
81,6
81,0
81,6
81,0
81,9
81,0
81,0
347,10
81,10
81,0
346,10
81,10
81,7
81,0
81,0
81,10
