# delay [ms], bytes_sent
81,10
81,0
81,10
81,9
81,10
81,8
81,2
81,10
81,0
81,10
81,10
81,10
81,0
81,8
81,8
81,10
81,7
81,0
81,0
81,0
342,10
81,9
81,10
81,0
81,10
81,3
81,3
81,7
81,10
81,10
81,8
81,10
81,10
81,0
81,10
81,9
81,10
81,10
81,0
81,0
81,10
81,10
81,10
81,0
81,10
81,10
81,0
81,0
81,2
81,0
81,10
81,0
81,0
81,10
81,0
81,0
81,7
81,10
81,0
81,0
81,4
81,10
81,0
81,2
81,0
81,10
81,0
81,10
81,0
81,0
81,0
81,10
81,0
81,10
81,10
81,10
81,8
81,0
81,0
81,0
81,10
81,0
81,0
81,10
81,3
81,10
81,10
81,3
81,5
81,0
81,0
81,0
81,6
81,3
81,0
81,0
81,10
81,10
81,0
81,8
81,1
81,0
340,10
81,0
81,0
81,0
81,10
81,10
81,10
81,0
81,10
81,1
81,5
81,0
81,10
81,10
81,10
81,0
81,0
81,0
81,10
81,0
81,3
81,10
81,10
81,0
81,10
81,10
81,3
81,2
81,10
81,5
81,0
81,10
81,10
81,0
81,10
81,0
81,3
81,0
81,0
81,3
81,1
81,0
81,10
81,10
81,10
81,0
81,0
81,0
81,0
81,10
81,0
344,10
81,6
81,10
81,0
321,7
81,10
81,0
81,0
81,10
81,10
81,6
81,0
81,2
81,0
81,10
81,6
81,4
81,0
81,10
81,0
81,10
81,10
81,0
81,10
81,0
81,0
81,0
81,0
81,10
81,0
81,0
81,10
81,0
81,8
81,0
81,10
81,8
81,0
81,3
81,0
81,0
81,10
81,10
81,0
81,10
81,10
81,3
81,4
81,0
81,10
81,10
321,7
81,10
81,0
81,10
81,10
81,10
81,6
81,10
81,0
81,0
280,1
81,0
81,10
81,10
81,0
81,10
81,10
81,1
81,0
81,0
81,9
345,10
81,10
81,0
81,0
81,0
81,5
81,0
81,0
81,0
81,10
81,7
81,10
81,4
81,0
81,0
81,0
81,10
81,10
81,10
81,10
81,10
81,10
81,0
81,0
81,0
81,10
81,0
343,10
81,10
81,10
81,3
81,10
81,10
81,10
81,0
81,10
266,0
345,10
81,0
81,10
81,4
81,1
81,10
81,3
81,1
347,10
81,8
