# timestamp [ms], type, package_type, source, dest, package_size
1786,SEND,DATA,AB,AD,150
3172,SEND,DATA_RETRY,AB,AD,150
4557,SEND,DATA_RETRY,AB,AD,150
4638,RECEIVE,ACK,AD,AB,0
5871,SEND,DATA,AB,AD,139
5952,RECEIVE,ACK,AD,AB,0
7263,SEND,DATA,AB,AD,150
7344,RECEIVE,ACK,AD,AB,0
8468,SEND,DATA,AB,AD,127
8549,RECEIVE,ACK,AD,AB,0
9753,SEND,DATA,AB,AD,137
11029,SEND,DATA_RETRY,AB,AD,137
11110,RECEIVE,ACK,AD,AB,0
12423,SEND,DATA,AB,AD,150
13803,SEND,DATA_RETRY,AB,AD,150
15187,SEND,DATA_RETRY,AB,AD,150
15268,RECEIVE,ACK,AD,AB,0
16441,SEND,DATA,AB,AD,133
16522,RECEIVE,ACK,AD,AB,0
17774,SEND,DATA,AB,AD,143
19100,SEND,DATA_RETRY,AB,AD,143
19181,RECEIVE,ACK,AD,AB,0
20491,SEND,DATA,AB,AD,150
20572,RECEIVE,ACK,AD,AB,0
21803,SEND,DATA,AB,AD,140
23105,SEND,DATA_RETRY,AB,AD,140
23186,RECEIVE,ACK,AD,AB,0
24497,SEND,DATA,AB,AD,150
25877,SEND,DATA_RETRY,AB,AD,150
27271,SEND,DATA_RETRY,AB,AD,150
28651,SEND,DATA_RETRY,AB,AD,150
30047,SEND,DATA,AB,AD,150
30128,RECEIVE,ACK,AD,AB,0
31335,SEND,DATA,AB,AD,137
31416,RECEIVE,ACK,AD,AB,0
32573,SEND,DATA,AB,AD,131
32654,RECEIVE,ACK,AD,AB,0
33846,SEND,DATA,AB,AD,134
33927,RECEIVE,ACK,AD,AB,0
35239,SEND,DATA,AB,AD,150
35320,RECEIVE,ACK,AD,AB,0
36632,SEND,DATA,AB,AD,150
36713,RECEIVE,ACK,AD,AB,0
37830,SEND,DATA,AB,AD,126
37911,RECEIVE,ACK,AD,AB,0
39046,SEND,DATA,AB,AD,128
39127,RECEIVE,ACK,AD,AB,0
40439,SEND,DATA,AB,AD,150
40520,RECEIVE,ACK,AD,AB,0
41833,SEND,DATA,AB,AD,150
41914,RECEIVE,ACK,AD,AB,0
43225,SEND,DATA,AB,AD,150
43306,RECEIVE,ACK,AD,AB,0
44407,SEND,DATA,AB,AD,124
44488,RECEIVE,ACK,AD,AB,0
45801,SEND,DATA,AB,AD,150
45882,RECEIVE,ACK,AD,AB,0
47194,SEND,DATA,AB,AD,150
47275,RECEIVE,ACK,AD,AB,0
48586,SEND,DATA,AB,AD,150
48667,RECEIVE,ACK,AD,AB,0
49874,SEND,DATA,AB,AD,137
49955,RECEIVE,ACK,AD,AB,0
51137,SEND,DATA,AB,AD,134
51218,RECEIVE,ACK,AD,AB,0
52341,SEND,DATA,AB,AD,127
52422,RECEIVE,ACK,AD,AB,0
53718,SEND,DATA,AB,AD,148
55083,SEND,DATA_RETRY,AB,AD,148
56456,SEND,DATA_RETRY,AB,AD,148
56537,RECEIVE,ACK,AD,AB,0
57847,SEND,DATA,AB,AD,150
59232,SEND,DATA_RETRY,AB,AD,150
59313,RECEIVE,ACK,AD,AB,0
60600,SEND,DATA,AB,AD,147
61958,SEND,DATA_RETRY,AB,AD,147
