# delay [ms], bytes_sent
81,1
81,0
81,1
257,0
81,0
81,0
81,1
81,0
81,1
81,1
81,1
81,1
81,1
81,1
81,1
81,1
81,1
81,1
81,1
81,0
81,1
81,0
81,1
81,1
81,0
81,1
81,0
81,0
81,0
81,0
81,1
81,0
81,0
81,1
81,0
81,0
81,1
81,1
81,1
81,1
81,1
81,1
81,0
81,1
81,1
81,1
81,0
81,1
81,1
81,0
81,0
81,0
81,1
81,1
81,0
81,1
257,0
258,0
81,0
81,1
81,1
81,1
81,1
81,0
81,0
81,0
81,0
259,0
264,1
81,1
81,0
81,1
259,0
81,1
81,1
81,1
265,1
81,0
81,1
81,1
81,1
81,1
81,1
81,0
81,1
81,0
81,1
81,0
262,0
81,0
81,0
81,0
81,0
81,0
81,1
81,0
81,1
81,1
81,1
81,0
81,0
81,0
81,0
268,1
81,0
81,1
81,0
81,0
81,0
81,0
81,1
81,0
81,0
81,0
81,1
81,1
81,0
81,0
81,1
81,0
81,1
81,0
81,1
81,1
81,0
81,0
81,1
81,1
81,1
81,1
81,0
81,1
81,1
81,1
81,1
81,0
81,0
81,1
81,1
81,0
81,0
81,0
81,0
81,1
81,0
81,1
81,1
81,1
81,0
81,0
81,1
81,0
81,0
81,1
81,1
81,1
81,0
81,0
81,1
81,0
81,0
451,1
81,0
81,0
81,1
81,0
81,0
81,0
81,1
81,0
81,0
81,1
81,0
81,1
81,0
81,1
81,0
81,1
81,0
81,1
81,0
81,1
81,0
81,1
81,1
81,0
81,1
81,0
81,0
81,1
81,1
81,0
81,0
81,0
261,0
81,1
81,1
81,0
81,0
81,0
81,1
81,0
81,0
81,1
81,0
81,0
81,0
81,0
81,0
81,0
81,1
81,1
81,1
81,0
81,0
81,0
81,1
451,1
81,0
81,1
81,1
81,0
264,1
81,1
81,1
81,1
81,0
81,1
81,0
81,1
81,0
81,0
81,1
81,1
81,1
81,0
81,1
81,1
81,1
81,1
81,0
81,0
260,0
81,0
81,1
81,0
265,1
81,1
81,1
81,1
81,0
81,1
263,1
81,0
81,1
81,0
81,1
81,0
81,1
81,0
81,1
81,1
81,0
81,1
81,0
81,1
81,0
81,1
264,1
81,0
81,1
81,0
81,0
81,0
450,1
81,0
81,1
81,0
81,0
81,1
81,0
81,1
81,0
81,1
81,1
81,1
81,1
81,0
81,1
81,1
81,0
81,1
81,1
81,1
81,0
81,1
81,0
81,0
81,0
81,1
81,1
270,1
81,1
81,1
81,1
81,1
81,0
81,1
81,1
81,1
81,1
81,1
81,1
81,1
267,1
81,0
81,1
81,1
81,0
81,0
81,0
81,1
81,1
81,0
81,0
81,1
81,0
81,1
