# timestamp [ms], type, package_type, source, dest, package_size
974,SEND,DATA,AB,AD,50
1055,RECEIVE,ACK,AD,AB,0
1555,SEND,DATA,AB,AD,50
1636,RECEIVE,ACK,AD,AB,0
2132,SEND,DATA,AB,AD,50
2213,RECEIVE,ACK,AD,AB,0
2709,SEND,DATA,AB,AD,50
2790,RECEIVE,ACK,AD,AB,0
3236,SEND,DATA,AB,AD,44
3317,RECEIVE,ACK,AD,AB,0
3774,SEND,DATA,AB,AD,45
3855,RECEIVE,ACK,AD,AB,0
4355,SEND,DATA,AB,AD,50
4936,SEND,DATA_RETRY,AB,AD,50
5017,RECEIVE,ACK,AD,AB,0
5497,SEND,DATA,AB,AD,48
5578,RECEIVE,ACK,AD,AB,0
6010,SEND,DATA,AB,AD,42
6091,RECEIVE,ACK,AD,AB,0
6587,SEND,DATA,AB,AD,50
7165,SEND,DATA_RETRY,AB,AD,50
7246,RECEIVE,ACK,AD,AB,0
7687,SEND,DATA,AB,AD,43
7768,RECEIVE,ACK,AD,AB,0
8184,SEND,DATA,AB,AD,40
8265,RECEIVE,ACK,AD,AB,0
8762,SEND,DATA,AB,AD,50
8843,RECEIVE,ACK,AD,AB,0
9345,SEND,DATA,AB,AD,50
9426,RECEIVE,ACK,AD,AB,0
9925,SEND,DATA,AB,AD,50
10503,SEND,DATA_RETRY,AB,AD,50
10584,RECEIVE,ACK,AD,AB,0
10998,SEND,DATA,AB,AD,40
11497,SEND,DATA_RETRY,AB,AD,40
12000,SEND,DATA_RETRY,AB,AD,40
12081,RECEIVE,ACK,AD,AB,0
12350,SEND,DATA,AB,AD,22
12701,SEND,DATA_RETRY,AB,AD,22
12782,RECEIVE,ACK,AD,AB,0
13285,SEND,DATA,AB,AD,50
13366,RECEIVE,ACK,AD,AB,0
13864,SEND,DATA,AB,AD,50
13945,RECEIVE,ACK,AD,AB,0
14278,SEND,DATA,AB,AD,30
14359,RECEIVE,ACK,AD,AB,0
14857,SEND,DATA,AB,AD,50
14938,RECEIVE,ACK,AD,AB,0
15312,SEND,DATA,AB,AD,35
15393,RECEIVE,ACK,AD,AB,0
