# timestamp [ms], type, package_type, source, dest, package_size
1336,SEND,DATA,AD,AB,100
2321,SEND,DATA_RETRY,AD,AB,100
3307,SEND,DATA_RETRY,AD,AB,100
4297,SEND,DATA_RETRY,AD,AB,100
5301,SEND,DATA,AD,AB,100
6296,SEND,DATA_RETRY,AD,AB,100
7283,SEND,DATA_RETRY,AD,AB,100
8267,SEND,DATA_RETRY,AD,AB,100
9265,SEND,DATA,AD,AB,100
10254,SEND,DATA_RETRY,AD,AB,100
11234,SEND,DATA_RETRY,AD,AB,100
12226,SEND,DATA_RETRY,AD,AB,100
13223,SEND,DATA,AD,AB,100
14206,SEND,DATA_RETRY,AD,AB,100
15188,SEND,DATA_RETRY,AD,AB,100
16183,SEND,DATA_RETRY,AD,AB,100
17180,SEND,DATA,AD,AB,100
18169,SEND,DATA_RETRY,AD,AB,100
19149,SEND,DATA_RETRY,AD,AB,100
20142,SEND,DATA_RETRY,AD,AB,100
21142,SEND,DATA,AD,AB,100
22124,SEND,DATA_RETRY,AD,AB,100
23119,SEND,DATA_RETRY,AD,AB,100
24103,SEND,DATA_RETRY,AD,AB,100
25104,SEND,DATA,AD,AB,100
26094,SEND,DATA_RETRY,AD,AB,100
27076,SEND,DATA_RETRY,AD,AB,100
28062,SEND,DATA_RETRY,AD,AB,100
29058,SEND,DATA,AD,AB,100
30038,SEND,DATA_RETRY,AD,AB,100
31029,SEND,DATA_RETRY,AD,AB,100
32009,SEND,DATA_RETRY,AD,AB,100
33016,SEND,DATA,AD,AB,100
34010,SEND,DATA_RETRY,AD,AB,100
34996,SEND,DATA_RETRY,AD,AB,100
35981,SEND,DATA_RETRY,AD,AB,100
36982,SEND,DATA,AD,AB,100
37963,SEND,DATA_RETRY,AD,AB,100
38955,SEND,DATA_RETRY,AD,AB,100
39937,SEND,DATA_RETRY,AD,AB,100
40941,SEND,DATA,AD,AB,100
41934,SEND,DATA_RETRY,AD,AB,100
42914,SEND,DATA_RETRY,AD,AB,100
43894,SEND,DATA_RETRY,AD,AB,100
44894,SEND,DATA,AD,AB,100
45878,SEND,DATA_RETRY,AD,AB,100
46871,SEND,DATA_RETRY,AD,AB,100
47857,SEND,DATA_RETRY,AD,AB,100
48851,SEND,DATA,AD,AB,100
49842,SEND,DATA_RETRY,AD,AB,100
50832,SEND,DATA_RETRY,AD,AB,100
51825,SEND,DATA_RETRY,AD,AB,100
52824,SEND,DATA,AD,AB,100
53812,SEND,DATA_RETRY,AD,AB,100
54794,SEND,DATA_RETRY,AD,AB,100
55789,SEND,DATA_RETRY,AD,AB,100
56784,SEND,DATA,AD,AB,100
57778,SEND,DATA_RETRY,AD,AB,100
58762,SEND,DATA_RETRY,AD,AB,100
59756,SEND,DATA_RETRY,AD,AB,100
60755,SEND,DATA,AD,AB,100
61745,SEND,DATA_RETRY,AD,AB,100
62729,SEND,DATA_RETRY,AD,AB,100
