# delay [ms], bytes_sent
81,50
81,33
81,50
81,49
81,37
81,38
81,50
83,50
81,49
83,50
81,50
81,41
82,50
81,50
81,50
81,28
82,50
81,50
81,46
81,50
81,43
81,32
81,33
81,26
81,50
81,45
81,50
81,50
81,48
81,31
81,28
81,31
82,38
81,27
81,50
81,37
81,23
81,40
81,28
81,50
81,20
81,50
81,31
81,41
81,31
81,50
81,50
81,50
81,43
81,21
81,40
81,41
81,43
81,25
81,37
81,27
81,29
81,31
81,25
81,34
81,50
81,49
81,23
81,50
81,49
81,50
81,50
81,32
81,21
81,24
81,50
81,41
81,49
81,50
81,30
81,46
81,50
81,30
81,50
81,39
81,32
81,48
81,50
81,39
81,31
81,19
81,50
81,50
81,50
81,16
81,21
81,50
81,50
81,50
81,50
81,50
81,50
81,39
81,50
81,50
81,50
81,50
81,37
81,50
81,50
81,34
81,50
81,50
81,34
81,21
81,50
81,30
81,15
81,34
81,45
81,46
81,50
81,44
81,50
81,50
81,30
81,16
81,36
